subject_id,in_gard,in_mondo,status
GARD:12459,True,True,both
GARD:1246,True,True,both
GARD:12469,True,True,both
GARD:1247,True,True,both
GARD:12470,True,True,both
GARD:12471,True,True,both
GARD:12472,True,True,both
GARD:12474,True,True,both
GARD:12476,True,True,both
GARD:12478,True,True,both
GARD:1248,True,True,both
GARD:12480,True,True,both
GARD:12483,True,True,both
GARD:12484,True,True,both
GARD:12486,True,True,both
GARD:12487,True,True,both
GARD:1249,True,True,both
GARD:12491,True,True,both
GARD:12492,True,True,both
GARD:12494,True,True,both
GARD:125,True,True,both
GARD:1250,True,True,both
GARD:12501,True,True,both
GARD:12502,True,True,both
GARD:12503,True,True,both
GARD:12504,True,True,both
GARD:12505,True,True,both
GARD:1251,True,True,both
GARD:12510,True,True,both
GARD:12511,True,True,both
GARD:12513,True,True,both
GARD:1252,True,True,both
GARD:12521,True,True,both
GARD:12524,True,True,both
GARD:12525,True,True,both
GARD:12526,True,True,both
GARD:12528,True,True,both
GARD:1253,True,True,both
GARD:12530,True,True,both
GARD:12531,True,True,both
GARD:12532,True,True,both
GARD:12533,True,True,both
GARD:12534,True,True,both
GARD:12535,True,True,both
GARD:12536,True,True,both
GARD:12538,True,True,both
GARD:12539,True,True,both
GARD:12540,True,True,both
GARD:12541,True,True,both
GARD:12542,True,True,both
GARD:12543,True,True,both
GARD:12544,True,True,both
GARD:12547,True,True,both
GARD:12550,True,True,both
GARD:12551,True,True,both
GARD:12556,True,True,both
GARD:12558,True,True,both
GARD:12559,True,True,both
GARD:12560,True,True,both
GARD:12561,True,True,both
GARD:12562,True,True,both
GARD:12567,True,True,both
GARD:12568,True,True,both
GARD:12569,True,True,both
GARD:12570,True,True,both
GARD:12571,True,True,both
GARD:1258,True,True,both
GARD:12584,True,True,both
GARD:12585,True,True,both
GARD:12586,True,True,both
GARD:12587,True,True,both
GARD:12588,True,True,both
GARD:12590,True,True,both
GARD:12591,True,True,both
GARD:12592,True,True,both
GARD:12596,True,True,both
GARD:12597,True,True,both
GARD:12598,True,True,both
GARD:12599,True,True,both
GARD:12600,True,True,both
GARD:12601,True,True,both
GARD:12602,True,True,both
GARD:12603,True,True,both
GARD:12604,True,True,both
GARD:1261,True,True,both
GARD:12610,True,True,both
GARD:12613,True,True,both
GARD:12621,True,True,both
GARD:12623,True,True,both
GARD:12631,True,True,both
GARD:12632,True,True,both
GARD:12635,True,True,both
GARD:12638,True,True,both
GARD:12640,True,True,both
GARD:12641,True,True,both
GARD:12642,True,True,both
GARD:12643,True,True,both
GARD:12644,True,True,both
GARD:12645,True,True,both
GARD:12648,True,True,both
GARD:12650,True,True,both
GARD:12652,True,True,both
GARD:12653,True,True,both
GARD:12656,True,True,both
GARD:12662,True,True,both
GARD:12663,True,True,both
GARD:12664,True,True,both
GARD:12665,True,True,both
GARD:12669,True,True,both
GARD:12673,True,True,both
GARD:12674,True,True,both
GARD:12675,True,True,both
GARD:12676,True,True,both
GARD:12677,True,True,both
GARD:12678,True,True,both
GARD:12679,True,True,both
GARD:12680,True,True,both
GARD:12681,True,True,both
GARD:12682,True,True,both
GARD:12683,True,True,both
GARD:12684,True,True,both
GARD:12686,True,True,both
GARD:12687,True,True,both
GARD:12688,True,True,both
GARD:12697,True,True,both
GARD:12698,True,True,both
GARD:127,True,True,both
GARD:12703,True,True,both
GARD:12704,True,True,both
GARD:12706,True,True,both
GARD:12713,True,True,both
GARD:12715,True,True,both
GARD:12716,True,True,both
GARD:12718,True,True,both
GARD:12719,True,True,both
GARD:12720,True,True,both
GARD:12722,True,True,both
GARD:12724,True,True,both
GARD:12731,True,True,both
GARD:12732,True,True,both
GARD:12733,True,True,both
GARD:12736,True,True,both
GARD:1274,True,True,both
GARD:12740,True,True,both
GARD:12741,True,True,both
GARD:12742,True,True,both
GARD:12744,True,True,both
GARD:12749,True,True,both
GARD:12757,True,True,both
GARD:12758,True,True,both
GARD:12759,True,True,both
GARD:12760,True,True,both
GARD:12761,True,True,both
GARD:12762,True,True,both
GARD:12763,True,True,both
GARD:12765,True,True,both
GARD:12766,True,True,both
GARD:12768,True,True,both
GARD:12772,True,True,both
GARD:12773,True,True,both
GARD:12774,True,True,both
GARD:12775,True,True,both
GARD:12777,True,True,both
GARD:12779,True,True,both
GARD:12781,True,True,both
GARD:12782,True,True,both
GARD:12784,True,True,both
GARD:12794,True,True,both
GARD:12796,True,True,both
GARD:12798,True,True,both
GARD:12799,True,True,both
GARD:1280,True,True,both
GARD:12800,True,True,both
GARD:12801,True,True,both
GARD:12806,True,True,both
GARD:12807,True,True,both
GARD:12811,True,True,both
GARD:12814,True,True,both
GARD:12815,True,True,both
GARD:12816,True,True,both
GARD:12819,True,True,both
GARD:12820,True,True,both
GARD:12821,True,True,both
GARD:12822,True,True,both
GARD:12823,True,True,both
GARD:12824,True,True,both
GARD:12825,True,True,both
GARD:12827,True,True,both
GARD:12829,True,True,both
GARD:12832,True,True,both
GARD:12835,True,True,both
GARD:12843,True,True,both
GARD:12844,True,True,both
GARD:12845,True,True,both
GARD:12851,True,True,both
GARD:12854,True,True,both
GARD:12860,True,True,both
GARD:12861,True,True,both
GARD:12862,True,True,both
GARD:12863,True,True,both
GARD:12864,True,True,both
GARD:12867,True,True,both
GARD:12868,True,True,both
GARD:12874,True,True,both
GARD:12875,True,True,both
GARD:1288,True,True,both
GARD:12889,True,True,both
GARD:1289,True,True,both
GARD:12892,True,True,both
GARD:12893,True,True,both
GARD:12894,True,True,both
GARD:12900,True,True,both
GARD:12901,True,True,both
GARD:12903,True,True,both
GARD:12913,True,True,both
